row_idx	col_idx	log2ratio	ranking	y2012	y2013	y2014	y2015	y2016
1	1	11.0	11.0	13.0	15.0	13.0	14.0	11.0
1	2	2.0	2.0	1	1.0	1.0	1.0	2.0
1	3	2.0	2.0	3	4.0	4.0	2.0	2.0
1	4	13.0	13.0	7	7.0	28.0	16.0	13.0
1	5	26.0	26.0	25	23.0	16.0	18.0	26.0
1	6	1.0	1.0	1	1.0	1.0	1.0	1.0
1	7	999.0	999.0					
1	8	13.0	13.0	73	86.0	22.0	23.0	13.0
1	9	1.0	1.0	1	1.0	1.0	1.0	1.0
1	10	10.0	10.0	24	9.0	11.0	21.0	10.0
1	11	9.0	9.0					9.0
1	12	2.0	2.0	1	2.0	3.0	2.0	2.0
1	13	6.0	6.0	6	5.0	4.0	5.0	6.0
1	14	35.0	35.0	22	24.0	38.0	37.0	35.0
1	15	31.0	31.0					31.0
1	16	40.0	40.0					40.0
1	17	1.0	1.0	1	1.0	1.0	1.0	1.0
1	18	1.0	1.0	3	3.0	1.0	1.0	1.0
1	19	999.0	999.0	-				
1	20	7.0	7.0	8	6.0	8.0	7.0	7.0
1	21	5.0	5.0					5.0
1	22	999.0	999.0					
1	23	75.0	75.0	68	79.0	87.0	91.0	75.0
1	24	139.0	139.0					139.0
1	25	225.0	225.0	87	98.0	109.0	106.0	225.0
1	26	176.0	176.0	191	256.0	185.0	173.0	176.0
1	27	14.0	14.0	21	19.0	14.0	11.0	14.0
2	1	13.0	13.0					13.0
2	2	11.0	11.0					11.0
2	3	18.0	18.0					18.0
2	4	14.0	14.0					14.0
2	5	15.0	15.0					15.0
2	6	4.0	4.0					4.0
2	7	15.0	15.0					15.0
2	8	21.0	21.0					21.0
2	9	8.0	8.0					8.0
2	10	12.0	12.0					12.0
2	11	999.0	999.0					
2	12	22.0	22.0					22.0
2	13	27.0	27.0					27.0
2	14	999.0	999.0					
2	15	18.0	18.0					18.0
2	16	999.0	999.0					
2	17	6.0	6.0					6.0
2	18	64.0	64.0					64.0
2	19	88.0	88.0					88.0
2	20	14.0	14.0					14.0
2	21	9.0	9.0					9.0
2	22	9.0	9.0					9.0
2	23	7.0	7.0					7.0
2	24	3.0	3.0					3.0
2	25	1.0	1.0					1.0
2	26	3.0	3.0					3.0
2	27	3.0	3.0					3.0
3	1	5.0	5.0					5.0
3	2	137.0	137.0					137.0
3	3	20.0	20.0					20.0
3	4	43.0	43.0					43.0
3	5	999.0	999.0					
3	6	30.0	30.0					30.0
3	7	999.0	999.0					
3	8	999.0	999.0					
3	9	27.0	27.0					27.0
3	10	43.0	43.0					43.0
3	11	7.0	7.0					7.0
3	12	25.0	25.0					25.0
3	13	999.0	999.0					
3	14	999.0	999.0					
3	15	111.0	111.0					111.0
3	16	999.0	999.0					
3	17	30.0	30.0					30.0
3	18	28.0	28.0					28.0
3	19	111.0	111.0					111.0
3	20	1.0	1.0					1.0
3	21	33.0	33.0					33.0
3	22	999.0	999.0					
3	23	9.0	9.0					9.0
3	24	32.0	32.0					32.0
3	25	25.0	25.0					25.0
3	26	136.0	136.0					136.0
3	27	4.0	4.0					4.0
4	1	10.0	10.0	10	10.0	12.0	13.0	10.0
4	2	999.0	999.0	-				
4	3	999.0	999.0	-				
4	4	999.0	999.0	-				
4	5	999.0	999.0	-				
4	6	999.0	999.0	-				
4	7	999.0	999.0					
4	8	999.0	999.0	-				
4	9	999.0	999.0	-				
4	10	1.0	1.0	39	46.0	6.0	1.0	1.0
4	11	999.0	999.0					
4	12	193.0	193.0	-			388.0	193.0
4	13	999.0	999.0	-				
4	14	999.0	999.0	-				
4	15	999.0	999.0					
4	16	999.0	999.0					
4	17	999.0	999.0	-				
4	18	999.0	999.0	-				
4	19	999.0	999.0	-				
4	20	125.0	125.0	100	111.0	87.0	134.0	125.0
4	21	1.0	1.0					1.0
4	22	999.0	999.0					
4	23	999.0	999.0	-				
4	24	999.0	999.0					
4	25	999.0	999.0	-				
4	26	999.0	999.0	-				
4	27	999.0	999.0	-				
5	1	27.0	27.0	46	21.0	14.0	23.0	27.0
5	2	19.0	19.0	27	29.0	24.0	28.0	19.0
5	3	9.0	9.0	4	5.0	6.0	9.0	9.0
5	4	24.0	24.0	35	34.0	34.0	42.0	24.0
5	5	27.0	27.0	21	21.0	22.0	21.0	27.0
5	6	15.0	15.0	17	20.0	13.0	14.0	15.0
5	7	50.0	50.0					50.0
5	8	55.0	55.0	42	35.0	38.0	50.0	55.0
5	9	20.0	20.0	37	41.0	42.0	36.0	20.0
5	10	19.0	19.0	10	27.0	24.0	25.0	19.0
5	11	24.0	24.0					24.0
